file_id,accuracy,stress,phones,total,text,phones-accuracy,speaker_id
10011,10,10,"['W', 'IY0']",10,WE,"[2.0, 2.0]",1
10011,10,10,"['K', 'AO0', 'L']",10,CALL,"[2.0, 1.8, 1.8]",1
10011,10,10,"['IH0', 'T']",10,IT,"[2.0, 2.0]",1
10011,6,10,"['B', 'EH0', 'R']",6,BEAR,"[2.0, 1.0, 1.0]",1
10035,8,10,"['Z', 'IH1', 'R', 'OW0']",7,ZERO,"[2.0, 1.4, 1.4, 2.0]",1
10035,8,10,"['TH', 'R', 'IY0']",8,THREE,"[1.2, 2.0, 2.0]",1
10035,10,10,"['F', 'AY0', 'V']",10,FIVE,"[2.0, 2.0, 1.8]",1
10035,10,10,"['W', 'AH0', 'N']",10,ONE,"[2.0, 2.0, 2.0]",1
10053,10,10,"['TH', 'R', 'IY0']",10,THREE,"[1.8, 2.0, 2.0]",1
10053,10,10,"['T', 'UW0']",10,TWO,"[2.0, 1.8]",1
10053,10,10,"['T', 'UW0']",10,TWO,"[2.0, 1.8]",1
10053,10,10,"['S', 'EH1', 'V', 'N']",10,SEVEN,"[2.0, 2.0, 2.0, 2.0]",1
10063,10,10,"['EH1', 'L', 'IH0', 'F', 'AH0', 'N', 'T', 'S']",10,ELEPHANTS,"[2.0, 2.0, 2.0, 2.0, 1.8, 2.0, 2.0, 2.0]",1
10063,10,10,"['T', 'AY0']",10,TAI,"[2.0, 2.0]",1
10063,10,10,"['G', 'UW0', 'S']",10,GOOSE,"[2.0, 2.0, 2.0]",1
10069,10,10,"['T', 'AA0', 'M']",10,TOM,"[2.0, 2.0, 2.0]",1
10069,10,10,"['G', 'IH0', 'V', 'Z']",10,GIVES,"[2.0, 2.0, 2.0, 1.8]",1
10069,10,10,"['AH0', 'P']",10,UP,"[2.0, 2.0]",1
10069,10,10,"['B', 'AA1', 'K', 'S', 'IH0', 'NG']",10,BOXING,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]",1
10075,10,10,"['HH', 'IY0']",10,HE,"[2.0, 1.8]",1
10075,10,10,"['HH', 'EY0', 'T', 'S']",10,HATES,"[2.0, 2.0, 2.0, 2.0]",1
10075,10,10,"['SH', 'UW1', 'T', 'IH0', 'NG']",10,SHOOTING,"[2.0, 2.0, 2.0, 2.0, 2.0]",1
10089,10,10,"['M', 'AE1', 'N', 'D', 'IY0']",10,MANDY,"[2.0, 2.0, 2.0, 2.0, 2.0]",1
10089,10,10,"['HH', 'AE0', 'Z']",10,HAS,"[2.0, 2.0, 2.0]",1
10089,10,10,['AH0'],10,A,[2.0],1
10089,10,10,"['B', 'IH0', 'G']",10,BIG,"[2.0, 2.0, 2.0]",1
10089,10,10,"['AA0', 'R', 'M']",10,ARM,"[2.0, 1.6, 2.0]",1
10095,10,10,"['L', 'UH0', 'K']",10,LOOK,"[2.0, 2.0, 2.0]",1
10095,10,10,"['AE0', 'T']",10,AT,"[2.0, 2.0]",1
10095,8,10,"['AE0', 'N', 'Z']",8,ANN'S,"[2.0, 2.0, 1.4]",1
10095,10,10,"['P', 'AE0', 'N', 'T', 'S']",10,PANTS,"[2.0, 2.0, 2.0, 1.8, 1.8]",1
10106,10,10,"['W', 'AH0', 'T']",10,WHAT,"[2.0, 1.8, 2.0]",1
10106,10,10,"['AH0', 'B', 'AW1', 'T']",10,ABOUT,"[2.0, 2.0, 2.0, 2.0]",1
10106,10,10,"['DH', 'AH0']",10,THE,"[2.0, 2.0]",1
10106,10,10,"['B', 'AH0', 'S']",10,BUS,"[2.0, 2.0, 2.0]",1
